studyYear,pop,programName,studyName,germplasmName,herbicideType,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Chalk impact|LSU_01:0000108,Days to heading|LSU_01:0000130,Whole milling percentage|LSU_01:0000100,Yield|LSU_01:0000138
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL111_MP,Clearfield,1,2,122,5,22,check,12.7,75,56.69,8150.289865
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL111_MP,Clearfield,1,3,212,9,12,check,13.96,77,56.94,9344.707734
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL111_MP,Clearfield,1,4,320,13,20,check,16.53,75,55.61,6182.383629
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL111_MP,Clearfield,1,1,43,2,8,check,18.16,79,57.31,8086.510601
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL153_MP,Clearfield,1,2,135,6,16,check,17.21,83,58.1,8760.8979
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL153_MP,Clearfield,1,3,256,11,6,check,16.06,83,59.65,9409.50983
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL153_MP,Clearfield,1,4,276,12,25,check,15.85,83,60.65,8858.794297
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL153_MP,Clearfield,1,1,40,2,11,check,13.15,83,54.76,8555.14954
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL172_MP,Clearfield,1,2,147,6,4,check,13.83,83,53.41,6914.208634
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL172_MP,Clearfield,1,3,193,8,8,check,7.94,84,54.93,7730.155896
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL172_MP,Clearfield,1,1,22,1,22,check,12.23,81,54.08,6568.339853
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CL172_MP,Clearfield,1,4,335,14,16,check,8.55,79,55.74,7234.377811
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CPRS_MP,Conventional,1,2,160,7,10,check,12.37,87,55.07,7240.651182
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CPRS_MP,Conventional,1,3,202,9,2,check,14.68,86,56.84,7594.445018
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CPRS_MP,Conventional,1,4,340,14,11,check,17.46,79,55.15,7492.040583
2021,MP-FOUNDERS,LSU Rice,21MP6-8_LA2,CPRS_MP,Conventional,1,1,53,3,3,check,13.08,86,58.1,7523.907485
