studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,193L1036,1,1,95,4,6,check,7979.226878
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,193L1099,1,1,135,6,16,check,10187.40774
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,193L2012,1,1,159,7,9,check,7973.764197
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,193L2052,1,1,77,4,24,check,8379.161806
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,RU2102186,1,1,161,7,11,check,8789.400821
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1001,1,1,169,7,19,test,8939.552574
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1002,1,1,214,9,14,test,8708.733463
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1003,1,1,277,12,24,test,7512.580567
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1004,1,1,53,3,3,test,8321.898362
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1005,1,1,102,5,2,test,8467.216286
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1006,1,1,269,11,19,test,8308.593968
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1007,1,1,20,1,20,test,7012.946026
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1008,1,1,60,3,10,test,7379.301755
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1009,1,1,74,3,24,test,7911.447204
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1010,1,1,189,8,12,test,10191.49907
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1011,1,1,81,4,20,test,7984.939585
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1012,1,1,252,11,2,test,8457.116766
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1013,1,1,282,12,19,test,9602.31747
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1014,1,1,266,11,16,test,9321.311397
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1015,1,1,4,1,4,test,8631.521004
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1016,1,1,59,3,9,test,9237.431588
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1017,1,1,107,5,7,test,7289.747123
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1018,1,1,192,8,9,test,8224.388368
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1019,1,1,157,7,7,test,6721.484336
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1020,1,1,198,8,3,test,8963.676258
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1021,1,1,219,9,19,test,7531.484019
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1022,1,1,270,11,20,test,9467.61427
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1023,1,1,75,3,25,test,9441.422192
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1024,1,1,132,6,19,test,9057.178266
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1025,1,1,248,10,3,test,7483.6079
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1026,1,1,207,9,7,test,7583.890906
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1027,1,1,247,10,4,test,6650.469482
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1028,1,1,187,8,14,test,6887.296785
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1290,1,1,243,10,8,test,7583.807564
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1029,1,1,148,6,3,test,6833.670076
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1030,1,1,178,8,23,test,8105.906528
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1031,1,1,51,3,1,test,7656.133158
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1032,1,1,253,11,3,test,10196.06772
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1033,1,1,114,5,14,test,8509.296356
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1034,1,1,56,3,6,test,9024.409756
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1035,1,1,258,11,8,test,7889.013086
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1036,1,1,7,1,7,test,4882.076119
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1037,1,1,260,11,10,test,6589.122286
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1038,1,1,235,10,16,test,7303.339425
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1039,1,1,106,5,6,test,7976.317489
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1040,1,1,104,5,4,test,9938.677701
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1041,1,1,174,7,24,test,10331.99832
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1042,1,1,112,5,12,test,9219.126682
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1043,1,1,14,1,14,test,5326.727752
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1044,1,1,237,10,14,test,7779.918572
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1045,1,1,218,9,18,test,3785.160666
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1046,1,1,34,2,17,test,8669.820384
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1047,1,1,71,3,21,test,7285.633064
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1048,1,1,238,10,13,test,6149.046879
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1049,1,1,191,8,10,test,10140.1529
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1050,1,1,259,11,9,test,6468.072
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1051,1,1,26,2,25,test,7600.074382
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1052,1,1,224,9,24,test,8168.996327
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1053,1,1,158,7,8,test,7299.990597
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1054,1,1,212,9,12,test,6547.413465
2021,21PVPY,21PVPY,RCBD,2021-March-18,2021-August-11,Rice Research Station_LA_SW,213L1055,1,1,162,7,12,test,5272.388849
