studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1001,1,1,190,10,11,test,9681.461078
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1002,1,1,242,13,2,test,9096.850232
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1003,1,1,203,11,3,test,8705.882052
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1004,1,1,312,16,9,test,9107.003107
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1005,1,1,109,6,12,test,8297.786874
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1006,1,1,271,14,10,test,9311.767191
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1007,1,1,317,16,4,test,9170.383708
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1008,1,1,309,16,12,test,10347.86097
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1009,1,1,111,6,10,test,8142.135442
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1010,1,1,53,3,13,test,7998.209733
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1011,1,1,239,12,2,test,8789.367608
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1012,1,1,316,16,5,test,9976.059043
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1013,1,1,122,7,2,test,7623.266953
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1014,1,1,221,12,20,test,8097.36545
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1015,1,1,81,5,1,test,7889.872633
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1016,1,1,276,14,5,test,6505.780055
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1017,1,1,365,19,5,test,8672.777577
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1018,1,1,264,14,17,test,9998.486022
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1019,1,1,31,2,10,test,8464.557383
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1020,1,1,323,17,3,test,8696.774023
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1021,1,1,94,5,14,test,9600.534239
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1022,1,1,354,18,7,test,8747.39907
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1023,1,1,51,3,11,test,7683.036433
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1024,1,1,336,17,16,test,8882.542012
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1025,1,1,362,19,2,test,8558.898517
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1026,1,1,322,17,2,test,8958.220802
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1027,1,1,88,5,8,test,8565.378529
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1028,1,1,212,11,12,test,9460.484274
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1029,1,1,207,11,7,test,6730.363319
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1030,1,1,266,14,15,test,9697.298952
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1031,1,1,150,8,11,test,9583.496237
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1032,1,1,261,14,20,test,9606.781832
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1033,1,1,83,5,3,test,9070.351376
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1034,1,1,54,3,14,test,6572.336573
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1035,1,1,253,13,13,test,9902.079911
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1036,1,1,257,13,17,test,7932.12802
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1037,1,1,100,5,20,test,8775.982506
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1038,1,1,201,11,1,test,8460.830512
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1039,1,1,277,14,4,test,8074.235404
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1040,1,1,232,12,9,test,9614.308778
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1041,1,1,200,10,1,test,8784.527756
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1042,1,1,75,4,6,test,8442.820413
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1043,1,1,348,18,13,test,9130.408642
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1044,1,1,298,15,18,test,9663.535383
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1045,1,1,327,17,7,test,8208.813146
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1046,1,1,341,18,20,test,8530.400533
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1047,1,1,82,5,2,test,8736.054867
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1048,1,1,119,6,2,test,7881.89304
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1049,1,1,191,10,10,test,9339.848978
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1050,1,1,2,1,2,test,8507.793131
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1051,1,1,376,19,16,test,7813.27086
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1052,1,1,147,8,14,test,9891.920248
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1053,1,1,350,18,11,test,8396.814738
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1054,1,1,146,8,15,test,8199.794814
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1055,1,1,37,2,4,test,7557.405131
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1056,1,1,185,10,16,test,9678.936294
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1057,1,1,347,18,14,test,9427.369312
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1058,1,1,192,10,9,test,9268.390194
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1059,1,1,92,5,12,test,8214.901217
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1060,1,1,275,14,6,test,9052.813544
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1061,1,1,225,12,16,test,9971.007283
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1062,1,1,91,5,11,test,8624.489811
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1063,1,1,216,11,16,test,9638.87639
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1064,1,1,299,15,19,test,10403.89414
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1065,1,1,163,9,3,test,9350.449445
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1066,1,1,359,18,2,test,8784.487742
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1067,1,1,189,10,12,test,7881.288298
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1068,1,1,206,11,6,test,9367.807777
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1069,1,1,375,19,15,test,9532.278781
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1070,1,1,149,8,12,test,9469.78431
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1071,1,1,164,9,4,test,8610.425778
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1072,1,1,22,2,19,test,7855.630923
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1073,1,1,356,18,5,test,8755.301253
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1074,1,1,34,2,7,test,7828.747041
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1075,1,1,26,2,15,test,8161.577648
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1076,1,1,56,3,16,test,8970.139313
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1077,1,1,241,13,1,test,8218.396495
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1078,1,1,213,11,13,test,9381.755566
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1079,1,1,170,9,10,test,9358.500809
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1080,1,1,113,6,8,test,9190.215695
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1081,1,1,355,18,6,test,8609.940909
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1082,1,1,86,5,6,test,6804.897292
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1083,1,1,105,6,16,test,9469.071796
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1084,1,1,238,12,3,test,8935.179976
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1085,1,1,93,5,13,test,9453.637896
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1086,1,1,357,18,4,test,8818.835975
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1087,1,1,98,5,18,test,9666.731222
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1088,1,1,9,1,9,test,7788.650619
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1089,1,1,13,1,13,test,8418.473606
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1090,1,1,202,11,2,test,9510.939868
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1091,1,1,67,4,14,test,8400.08483
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1092,1,1,300,15,20,test,8776.08639
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1093,1,1,12,1,12,test,9666.076488
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1094,1,1,343,18,18,test,10204.90883
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1095,1,1,289,15,9,test,9619.062163
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1096,1,1,178,9,18,test,8735.669177
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1097,1,1,195,10,6,test,9291.819192
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1098,1,1,367,19,7,test,8837.598267
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1099,1,1,21,2,20,test,8890.898243
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1100,1,1,14,1,14,test,8252.277989
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1101,1,1,360,18,1,test,7729.90948
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1102,1,1,278,14,3,test,6535.42232
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1103,1,1,292,15,12,test,9687.535314
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1104,1,1,49,3,9,test,5730.33043
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1105,1,1,237,12,4,test,9043.299084
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1106,1,1,363,19,3,test,7785.589011
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1107,1,1,318,16,3,test,7585.714346
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1108,1,1,18,1,18,test,9503.718917
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1109,1,1,143,8,18,test,8686.338278
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1110,1,1,235,12,6,test,8104.888136
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1111,1,1,89,5,9,test,9655.545902
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1112,1,1,101,6,20,test,9302.426416
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1113,1,1,154,8,7,test,7924.346214
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1114,1,1,193,10,8,test,8743.704267
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1115,1,1,183,10,18,test,8702.136748
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1116,1,1,274,14,7,test,8283.281944
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1117,1,1,218,11,18,test,8952.371057
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1118,1,1,320,16,1,test,9632.044722
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1119,1,1,4,1,4,test,8355.902993
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1120,1,1,249,13,9,test,8830.359033
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1121,1,1,345,18,16,test,8043.354693
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1122,1,1,7,1,7,test,8197.566426
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1123,1,1,247,13,7,test,7546.656438
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1124,1,1,104,6,17,test,9718.346064
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1125,1,1,313,16,8,test,8830.307065
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1126,1,1,223,12,18,test,9046.650604
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1127,1,1,211,11,11,test,9287.288921
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1128,1,1,349,18,12,test,10728.48994
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1129,1,1,167,9,7,test,9671.30657
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1130,1,1,281,15,1,test,7524.412664
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1131,1,1,263,14,18,test,7635.325505
2021,21PYL,21PYL,RCBD,2021-March-10,2021-July-31,Rice Research Station_LA_SW,211L1132,1,1,69,4,12,test,7839.14859
