studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1187,1,1,1,1,1,test,8479.172056
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1003,1,1,10,1,10,test,7877.580096
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1082,1,1,100,8,5,test,9149.665017
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1052,1,1,101,8,4,test,7628.895518
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1099,1,1,102,8,3,test,8219.592422
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1015,1,1,103,8,2,test,8204.477236
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1066,1,1,104,8,1,test,7387.999617
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1124,1,1,105,9,1,test,9281.860384
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1035,1,1,106,9,2,test,8467.14052
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1095,1,1,107,9,3,test,8873.098793
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1151,1,1,108,9,4,test,8735.01646
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1088,1,1,109,9,5,test,8068.705745
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1073,1,1,11,1,11,test,8939.726834
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1092,1,1,110,9,6,test,8372.797518
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1106,1,1,111,9,7,test,6119.377172
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,CLL16,1,1,112,9,8,check,10029.42185
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1078,1,1,113,9,9,test,8636.036618
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1013,1,1,114,9,10,test,8305.775497
2022,22_CLPYL_RRSL,PYT,CRD,2022-April-19,2022-August-14,Rice Research Station - Late_LA_SW,222L1130,1,1,115,9,11,test,8248.618124
