studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1159,1,1,1,1,1,test,10256.78606
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1055,1,1,10,1,10,test,10359.84208
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1177,1,1,100,8,5,test,10212.16785
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1123,1,1,101,8,4,test,11183.43406
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1032,1,1,102,8,3,test,10301.02544
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1114,1,1,103,8,2,test,9888.058877
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1006,1,1,104,8,1,test,10313.89798
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1104,1,1,105,9,1,test,9721.78426
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1153,1,1,106,9,2,test,10109.85434
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1087,1,1,107,9,3,test,11115.98776
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1132,1,1,108,9,4,test,10896.84408
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1030,1,1,109,9,5,test,10934.15094
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1097,1,1,11,1,11,test,10727.0388
2022,22_CLPYL_RRS,PYT,CRD,2022-March-02,2022-July-29,Rice Research Station_LA_SW,222L1139,1,1,110,9,6,test,11038.40405
