studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1164,1,1,1,1,1,test,4208.97683
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1331,1,1,10,1,10,test,8066.826765
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,PVL02,1,1,100,4,13,check,3710.630301
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1276,1,1,101,4,12,test,5163.620126
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1013,1,1,102,4,11,test,7569.086358
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1274,1,1,103,4,10,test,8009.60878
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1005,1,1,104,4,9,test,7796.783937
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1329,1,1,105,4,8,test,7790.389342
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1267,1,1,106,4,7,test,7628.418196
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1191,1,1,107,4,6,test,9185.441411
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1092,1,1,108,4,5,test,8899.1848
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1023,1,1,109,4,4,test,7603.188338
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1289,1,1,11,1,11,test,6630.55835
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1166,1,1,110,4,3,test,8938.029691
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1303,1,1,111,4,2,test,4419.90754
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1260,1,1,112,4,1,test,7964.301106
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1308,1,1,113,5,1,test,7287.883295
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1186,1,1,114,5,2,test,8461.594497
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1144,1,1,115,5,3,test,8648.992491
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1324,1,1,116,5,4,test,7040.494304
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1257,1,1,117,5,5,test,6703.027899
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1310,1,1,118,5,6,test,8069.281562
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1137,1,1,119,5,7,test,8461.768758
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1241,1,1,12,1,12,test,7096.939483
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1079,1,1,120,5,8,test,7690.015419
2022,22_PVPY_RRSL,PYT,CRD,2022-April-04,2022-August-06,Rice Research Station - Late_LA_SW,223L1086,1,1,121,5,9,test,5882.534716
