studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1164,1,1,1,1,1,test,6997.2626
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1227,1,1,10,1,10,test,7951.905896
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1074,1,1,100,9,4,test,7472.932564
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1122,1,1,101,9,5,test,7421.230295
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1270,1,1,102,9,6,test,7843.766025
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1045,1,1,103,9,7,test,6560.12689
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1186,1,1,104,9,8,test,7763.295656
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1111,1,1,105,9,9,test,5617.015079
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1208,1,1,106,9,10,test,7462.219345
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1167,1,1,107,9,11,test,7413.487077
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1159,1,1,108,9,12,test,8222.660918
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1066,1,1,109,10,12,test,9104.137624
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1217,1,1,11,1,11,test,7669.604236
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1176,1,1,110,10,11,test,9069.656817
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1033,1,1,111,10,10,test,7047.820812
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1293,1,1,112,10,9,test,7174.720182
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1024,1,1,113,10,8,test,8553.300866
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1216,1,1,114,10,7,test,8948.007986
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1318,1,1,115,10,6,test,6660.470507
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1255,1,1,116,10,5,test,7414.343226
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1285,1,1,117,10,4,test,5881.93617
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1051,1,1,118,10,3,test,6816.357696
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,PVL03,1,1,119,10,2,check,8652.88683
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1091,1,1,12,1,12,test,6735.963093
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1118,1,1,120,10,1,test,7822.710837
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1031,1,1,121,11,1,test,7574.821794
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1258,1,1,122,11,2,test,8232.737709
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1078,1,1,123,11,3,test,7089.181112
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1007,1,1,124,11,4,test,6498.54482
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1280,1,1,125,11,5,test,8578.970163
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1037,1,1,126,11,6,test,8642.931264
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1205,1,1,127,11,7,test,8808.539146
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1089,1,1,128,11,8,test,5494.714666
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1019,1,1,129,11,9,test,6807.621952
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1160,1,1,13,2,12,test,8440.092294
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1029,1,1,130,11,10,test,7312.810092
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1210,1,1,131,11,11,test,8729.455284
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1326,1,1,132,11,12,test,5800.041413
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1315,1,1,133,12,12,test,8853.968045
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1218,1,1,134,12,11,test,8453.65429
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1023,1,1,135,12,10,test,6909.117203
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1114,1,1,136,12,9,test,6389.836709
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1195,1,1,137,12,8,test,8454.59378
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1086,1,1,138,12,7,test,4865.589581
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1136,1,1,139,12,6,test,7821.134918
2022,22_PVPY_RRS,PYT,CRD,2022-March-04,2022-July-25,Rice Research Station_LA_SW,223L1290,1,1,14,2,11,test,5821.051142
