studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1001,1,1,174,11,14,test,10857.02182
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1002,1,1,152,10,9,test,9347.480746
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1003,1,1,4,1,4,test,9967.324576
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1004,1,1,54,4,11,test,10138.9558
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1005,1,1,190,12,3,test,9332.804999
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1006,1,1,180,12,13,test,8714.529511
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1007,1,1,65,5,1,test,10284.69044
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1008,1,1,236,15,12,test,9495.973238
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1009,1,1,144,9,16,test,10619.64901
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1010,1,1,169,11,9,test,9601.741653
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1011,1,1,145,10,16,test,9410.919066
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1012,1,1,119,8,10,test,9606.734589
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1013,1,1,131,9,3,test,10111.85454
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1014,1,1,166,11,6,test,9507.762325
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1015,1,1,133,9,5,test,9686.12909
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1016,1,1,84,6,13,test,6431.727366
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1017,1,1,227,15,3,test,6948.765206
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1018,1,1,168,11,8,test,7873.413003
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1019,1,1,30,2,3,test,7643.05606
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1020,1,1,229,15,5,test,7932.676652
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1021,1,1,217,14,8,test,5556.902858
2022,22_PYL_RRSL,PYT,CRD,2022-April-08,2022-August-12,Rice Research Station - Late_LA_SW,221L1022,1,1,68,5,4,test,8956.251255
