studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1001,1,1,81,6,16,test,8926.884609
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1002,1,1,182,12,11,test,9515.975288
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1003,1,1,188,12,5,test,7072.770339
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1004,1,1,79,5,15,test,7061.594951
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1005,1,1,72,5,8,test,7775.827244
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1006,1,1,204,13,12,test,9347.548935
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1007,1,1,31,2,2,test,6416.157589
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1008,1,1,42,3,10,test,7066.027224
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1009,1,1,162,11,2,test,9449.392706
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1010,1,1,77,5,13,test,7746.256031
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1011,1,1,213,14,12,test,8922.368995
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1012,1,1,78,5,14,test,7914.826338
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1013,1,1,147,10,14,test,9565.52582
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1014,1,1,178,12,15,test,8283.962656
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1015,1,1,226,15,2,test,8128.795237
2022,22_PYL_RRS,PYT,CRD,2022-March-10,2022-August-01,Rice Research Station_LA_SW,221L1016,1,1,130,9,2,test,8418.423406
