studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1001,1,1,1,1,1,test,10015.89
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1002,1,1,2,1,2,test,11689.62
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1003,1,1,3,1,3,test,9554.59
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1004,1,1,4,1,4,test,11712.87
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1005,1,1,5,1,5,test,10726.13
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1006,1,1,6,1,6,test,9908.84
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1007,1,1,7,1,7,test,10668.36
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1008,1,1,8,1,8,test,10820.27
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1009,1,1,9,1,9,test,12442.94
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1010,1,1,10,1,10,test,10804.5
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1011,1,1,11,1,11,test,11020.92
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1012,1,1,12,1,12,test,11801.13
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1013,1,1,13,1,13,test,11158.13
2020,PY_CL_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,202L1014,1,1,14,1,14,test,10857.01
