studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1001,1,1,1,1,1,test,7628.94
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1002,1,1,2,1,2,test,9945.26
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1003,1,1,3,1,3,test,8596.97
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1004,1,1,4,1,4,test,9212.24
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1005,1,1,5,1,5,test,8856.02
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1006,1,1,6,1,6,test,7957.35
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1007,1,1,7,1,7,test,8021.43
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1008,1,1,8,1,8,test,8427.56
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1009,1,1,9,1,9,test,8709.64
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1010,1,1,10,1,10,test,6941.53
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201L1011,1,1,11,1,11,test,9138.37
2020,PY_CONV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,201A1012,1,1,12,1,12,test,6477.52
