studyYear,studyName,studyDescription,studyDesign,plantingDate,harvestDate,locationName,germplasmName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,Yield|LSU_01:0000138
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1001,1,1,1,1,1,test,8708.02
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,Unknown,1,1,2,1,2,check,10540.01
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1003,1,1,3,1,3,test,9448.56
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,Unknown,1,1,4,1,4,check,7438.83
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1005,1,1,5,1,5,test,7915.53
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1006,1,1,6,1,6,test,10227.31
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1007,1,1,7,1,7,test,8722.23
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1008,1,1,8,1,8,test,5972.42
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1009,1,1,9,1,9,test,7060.75
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1010,1,1,10,1,10,test,7667.21
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1011,1,1,11,1,11,test,8299.09
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1012,1,1,12,1,12,test,8681.88
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1013,1,1,13,1,13,test,7380.63
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,Unknown,1,1,14,1,14,check,8410.53
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1015,1,1,15,2,14,test,8285.56
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1016,1,1,16,2,13,test,7868.94
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1017,1,1,17,2,12,test,6166.28
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1018,1,1,18,2,11,test,8333.37
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1019,1,1,19,2,10,test,7750.78
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1020,1,1,20,2,9,test,7083.76
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1021,1,1,21,2,8,test,8244.39
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,Unknown,1,1,22,2,7,check,9192.55
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1023,1,1,23,2,6,test,7751.34
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1024,1,1,24,2,5,test,7779.17
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1025,1,1,25,2,4,test,7321.98
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1026,1,1,26,2,3,test,8167.77
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1027,1,1,27,2,2,test,6649.98
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1028,1,1,28,2,1,test,8058.78
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1029,1,1,29,3,1,test,8832.45
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,Unknown,1,1,30,3,2,check,8558.75
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1031,1,1,31,3,3,test,6632.61
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1032,1,1,32,3,4,test,8131.86
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1033,1,1,33,3,5,test,8809.09
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1034,1,1,34,3,6,test,7767.07
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1035,1,1,35,3,7,test,8289.66
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1036,1,1,36,3,8,test,6313.28
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1037,1,1,37,3,9,test,8430.39
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1038,1,1,38,3,10,test,4922.1
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1039,1,1,39,3,11,test,6875.73
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1040,1,1,40,3,12,test,8458.4
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1041,1,1,41,3,13,test,7493.1
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1042,1,1,42,3,14,test,7448.06
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1043,1,1,43,4,14,test,7577.01
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1044,1,1,44,4,13,test,5599.76
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1045,1,1,45,4,12,test,6199
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1046,1,1,46,4,11,test,7691.84
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1047,1,1,47,4,10,test,4933.38
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1048,1,1,48,4,9,test,7653.06
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,Unknown,1,1,49,4,8,check,8627.68
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1050,1,1,50,4,7,test,9028.69
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1051,1,1,51,4,6,test,7968.1
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1052,1,1,52,4,5,test,8902.74
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1053,1,1,53,4,4,test,9237.03
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1054,1,1,54,4,3,test,7556.44
2020,PY_PV_LONG_RRS_2020,Preliminary yield trial data,RCBD,,,Rice Research Station_LA_SW,203L1055,1,1,55,4,2,test,9578.02
